,,RSSD ID,2867337,2867337,2867337,2867337,2867337,2867337
,,Name,Five Star Bank,Five Star Bank,Five Star Bank,Five Star Bank,Five Star Bank,Five Star Bank
,,Type,Bank,Bank,Bank,Bank,Bank,Bank
,,Period,3/31/2024,6/30/2024,9/30/2024,12/31/2024,3/31/2025,6/30/2025
,,Duration,MRQ,MRQ,MRQ,MRQ,MRQ,MRQ
Field,QA Field ID,Field Type,,,,,,
Yield on Interest Bearing Balances Due From Depository Institutions,1193,Bank,5.33,5.33,5.25,4.77,4.35,4.41
Yield on Fed Funds Sold & Reverse Repos,3095,Bank,NA,NA,NA,NA,NA,NA
Yield on Trading Assets,1245,Bank,NA,NA,NA,NA,NA,NA
Yield on Total Cash & Equivalents,1235,Bank,5.33,5.33,5.25,4.77,4.35,4.41
Yield on Treasury & Agency Securities,1251,Bank,5.56,6.19,8.06,7.54,4.03,4.48
Yield on Mortgage Backed Securities,1217,Bank,1.75,1.65,1.64,1.62,1.66,1.66
Yield on All Other Securities,1161,Bank,1.77,1.92,1.85,1.98,2.09,2.10
Yield on Total Securities,1244,Bank,2.06,2.10,2.04,2.04,1.98,2.01
Yield on 1-4 Family Loans,1181,Bank,5.27,5.86,6.06,6.02,5.91,5.84
Yield on Other Real Estate Loans,1226,Bank,5.42,5.50,5.65,5.67,5.58,5.76
Yield on C&I Loans,1170,Bank,10.95,10.37,10.01,9.65,8.91,8.68
Yield on Credit Card Loans,1177,Bank,65.12,5.41,4.40,7.92,6.67,6.96
Yield on Consumer Loans,1173,Bank,7.73,8.31,8.34,8.23,8.20,8.24
Yield on Leases,1202,Bank,NA,NA,NA,NA,NA,NA
Yield on Total Loans & Leases,1241,Bank,5.70,5.82,6.03,6.06,5.95,6.09
Yield on Earning Assets,1200,Bank,5.58,5.70,5.90,5.86,5.73,5.86
Rate on Interest Bearing Transaction Accounts,1197,Bank,0.93,0.98,0.96,1.06,0.99,1.03
Rate on Total Savings Accounts,1229,Bank,3.51,3.52,3.80,3.45,3.26,3.25
Rate on Time Deposits ≤ $250k (prev. 100k),1167,Bank,5.14,4.95,5.17,4.97,4.41,4.39
Rate on Time Deposits > $250k (prev. $100k),1164,Bank,4.94,4.93,5.07,4.67,4.23,4.19
Rate on Total Interest-Bearing Deposits,1192,Bank,3.60,3.36,3.50,3.60,3.23,3.22
Total Cost of Deposits,1176,Bank,2.60,2.45,2.57,2.65,2.40,2.40
Rate on Fed Funds Purchased & Repo Agreements,1184,Bank,NA,NA,NA,NA,NA,NA
Rate on Other Borrowed Money,1222,Bank,0.34,0.18,NA,NA,NA,NA
Rate on Subordinated Notes & Debentures,1232,Bank,NA,NA,NA,NA,NA,NA
Rate on Total Non-Deposit Liabilities,3074,Bank,0.34,0.18,NA,NA,NA,NA
Total Cost of Funds,1236,Bank,2.50,2.40,2.57,2.65,2.40,2.40
Interest Rate Spread,1201,Bank,2.18,2.43,2.39,2.25,2.51,2.64
Net Interest Margin,1220,Bank,3.30,3.54,3.56,3.54,3.55,3.66
